action,ball_col,ball_row,bar_col,label,prev_ball_col,prev_ball_row,prev_bar_col,time1,time2
0.0,5.0,1.0,3.0,0.0,5.0,0.0,3.0,12.6479999796,12.6511280336
1.0,5.0,2.0,4.0,1.0,5.0,1.0,3.0,13.9279999775,13.9080321223
1.0,5.0,3.0,5.0,1.0,5.0,2.0,4.0,15.0559999757,15.0611766051
0.0,5.0,4.0,5.0,1.0,5.0,3.0,5.0,16.4239999733,16.4244025003
0.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,17.8159999712,17.8223466028
0.0,5.0,6.0,5.0,1.0,5.0,5.0,5.0,18.8639999696,18.8715428566
1.0,5.0,7.0,6.0,0.0,5.0,6.0,5.0,20.2159999674,20.2207300595
2.0,5.0,8.0,5.0,1.0,5.0,7.0,6.0,21.4479999654,21.4539899111
2.0,5.0,9.0,4.0,0.0,5.0,8.0,5.0,22.847999963,22.8482882853
2.0,0.0,1.0,4.0,1.0,0.0,0.0,5.0,25.1919999593,25.1920991028
1.0,0.0,2.0,5.0,0.0,0.0,1.0,4.0,26.2479999575,26.2491806508
2.0,0.0,3.0,4.0,1.0,0.0,2.0,5.0,27.5119999556,27.5150715879
2.0,0.0,4.0,3.0,1.0,0.0,3.0,4.0,28.8639999533,28.870115465
2.0,0.0,5.0,2.0,1.0,0.0,4.0,3.0,30.3439999509,30.3469034319
2.0,0.0,6.0,1.0,1.0,0.0,5.0,2.0,31.7279999489,31.7312582002
2.0,0.0,7.0,0.0,1.0,0.0,6.0,1.0,32.8319999469,32.834599135
0.0,0.0,8.0,0.0,1.0,0.0,7.0,0.0,34.159999945,34.1654879686
0.0,0.0,9.0,0.0,1.0,0.0,8.0,0.0,35.4079999428,35.4120836619
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,38.1439999384,38.1506148912
1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,39.4639999361,39.4688845049
0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,40.5759999345,40.5830737953
0.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,41.8639999323,41.8640592874
1.0,1.0,5.0,2.0,0.0,1.0,4.0,1.0,42.9039999307,42.9040092607
2.0,1.0,6.0,1.0,1.0,1.0,5.0,2.0,44.2479999287,44.250584071
0.0,1.0,7.0,1.0,1.0,1.0,6.0,1.0,45.4079999267,45.4089894246
0.0,1.0,8.0,1.0,1.0,1.0,7.0,1.0,46.7679999245,46.7685199804
0.0,1.0,9.0,1.0,1.0,1.0,8.0,1.0,48.1679999221,48.1731058683
0.0,9.0,1.0,1.0,0.0,9.0,0.0,1.0,50.807999918,50.8080372461
1.0,9.0,2.0,2.0,1.0,9.0,1.0,1.0,51.8639999162,51.8644613128
1.0,9.0,3.0,3.0,1.0,9.0,2.0,2.0,52.9119999146,52.9169850911
1.0,9.0,4.0,4.0,1.0,9.0,3.0,3.0,54.0319999126,54.03459494
