action,ball_col,ball_row,bar_col,label,prev_ball_col,prev_ball_row,prev_bar_col,time1,time2
0.0,3.0,1.0,3.0,1.0,3.0,0.0,3.0,17.1999999722,17.2058655976
0.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,18.4559999702,18.4604583415
0.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,19.7439999681,19.7467243285
0.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,21.023999966,21.027927052
0.0,3.0,5.0,3.0,1.0,3.0,4.0,3.0,22.3279999639,22.3357908435
0.0,3.0,6.0,3.0,1.0,3.0,5.0,3.0,23.7359999616,23.7406863722
2.0,3.0,7.0,2.0,0.0,3.0,6.0,3.0,24.82399996,24.8303741405
1.0,3.0,8.0,3.0,1.0,3.0,7.0,2.0,26.2639999576,26.2663339023
0.0,3.0,9.0,3.0,1.0,3.0,8.0,3.0,27.5599999554,27.5628455125
2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,29.8879999516,29.8913531457
2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,31.3679999493,31.3744170715
2.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,32.6959999471,32.7002461599
0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,33.8319999452,33.8329858608
0.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,35.1519999432,35.1569839511
0.0,0.0,6.0,0.0,1.0,0.0,5.0,0.0,36.2879999413,36.289081384
1.0,0.0,7.0,1.0,0.0,0.0,6.0,0.0,37.4079999395,37.409587367
2.0,0.0,8.0,0.0,1.0,0.0,7.0,1.0,38.4399999378,38.4447759055
0.0,0.0,9.0,0.0,1.0,0.0,8.0,0.0,39.8879999355,39.8936937114
1.0,9.0,1.0,1.0,1.0,9.0,0.0,0.0,42.655999931,42.6588023235
2.0,9.0,2.0,0.0,0.0,9.0,1.0,1.0,43.7119999293,43.7179403356
1.0,9.0,3.0,1.0,1.0,9.0,2.0,0.0,44.7439999278,44.7490020718
1.0,9.0,4.0,2.0,1.0,9.0,3.0,1.0,45.847999926,45.8552354679
1.0,9.0,5.0,3.0,1.0,9.0,4.0,2.0,47.047999924,47.050442853
1.0,9.0,6.0,4.0,1.0,9.0,5.0,3.0,48.1279999223,48.1334587745
2.0,9.0,7.0,3.0,0.0,9.0,6.0,4.0,49.3599999202,49.3605416561
1.0,9.0,8.0,4.0,1.0,9.0,7.0,3.0,50.5039999185,50.5089523639
1.0,9.0,9.0,5.0,1.0,9.0,8.0,4.0,51.5599999167,51.5649332022
2.0,3.0,1.0,5.0,1.0,3.0,0.0,6.0,54.0559999126,54.0632368331
1.0,3.0,2.0,6.0,0.0,3.0,1.0,5.0,55.095999911,55.1027645818
2.0,3.0,3.0,5.0,1.0,3.0,2.0,6.0,56.5679999087,56.5745760482
2.0,3.0,4.0,4.0,1.0,3.0,3.0,5.0,57.7359999067,57.7417245391
2.0,3.0,5.0,3.0,1.0,3.0,4.0,4.0,59.0079999047,59.0110638642
0.0,3.0,6.0,3.0,1.0,3.0,5.0,3.0,60.4799999022,60.4864378229
2.0,3.0,7.0,2.0,0.0,3.0,6.0,3.0,61.8639998999,61.8646427346
0.0,3.0,8.0,2.0,0.0,3.0,7.0,2.0,63.0079998982,63.0138748146
0.0,3.0,9.0,2.0,0.0,3.0,8.0,2.0,64.0799998965,64.0801890038
1.0,6.0,1.0,4.0,1.0,6.0,0.0,3.0,66.7279998921,66.7306219547
1.0,6.0,2.0,5.0,1.0,6.0,1.0,4.0,67.8799998902,67.8816852686
1.0,6.0,3.0,6.0,1.0,6.0,2.0,5.0,69.1119998884,69.1147627584
0.0,6.0,4.0,6.0,1.0,6.0,3.0,6.0,70.3919998864,70.3927067544
0.0,6.0,5.0,6.0,1.0,6.0,4.0,6.0,71.3999998847,71.4075522583
0.0,6.0,6.0,6.0,1.0,6.0,5.0,6.0,72.8799998823,72.8834056819
0.0,6.0,7.0,6.0,1.0,6.0,6.0,6.0,73.8959998805,73.8997133065
0.0,6.0,8.0,6.0,1.0,6.0,7.0,6.0,75.2319998785,75.2380192571
0.0,6.0,9.0,6.0,1.0,6.0,8.0,6.0,76.6799998761,76.6808256179
1.0,8.0,1.0,7.0,1.0,8.0,0.0,6.0,79.5519998714,79.5536952745
1.0,8.0,2.0,8.0,1.0,8.0,1.0,7.0,80.6639998697,80.6705147089
2.0,8.0,3.0,7.0,0.0,8.0,2.0,8.0,81.9359998675,81.9425523232
1.0,8.0,4.0,8.0,1.0,8.0,3.0,7.0,83.1679998657,83.1700693264
1.0,8.0,5.0,9.0,0.0,8.0,4.0,8.0,84.5279998635,84.5333727177
2.0,8.0,6.0,8.0,1.0,8.0,5.0,9.0,85.9199998612,85.9240547565
0.0,8.0,7.0,8.0,1.0,8.0,6.0,8.0,87.1359998593,87.1406288885
0.0,8.0,8.0,8.0,1.0,8.0,7.0,8.0,88.5599998571,88.5648595991
1.0,8.0,9.0,9.0,0.0,8.0,8.0,8.0,89.8559998549,89.8560705341
2.0,3.0,1.0,8.0,1.0,3.0,0.0,9.0,92.0559998513,92.0632173934
2.0,3.0,2.0,7.0,1.0,3.0,1.0,8.0,93.1199998495,93.1205660498
2.0,3.0,3.0,6.0,1.0,3.0,2.0,7.0,94.5279998472,94.5313080819
