action,ball_col,ball_row,bar_col,label,prev_ball_col,prev_ball_row,prev_bar_col,time1,time2
0.0,0.0,1.0,8.0,0.0,0.0,0.0,8.0,13.0879999788,13.0931628891
0.0,0.0,2.0,8.0,0.0,0.0,1.0,8.0,14.3599999768,14.367201315
2.0,0.0,3.0,7.0,1.0,0.0,2.0,8.0,15.8479999744,15.8501730547
2.0,0.0,4.0,6.0,1.0,0.0,3.0,7.0,16.9439999727,16.9453331123
2.0,0.0,5.0,5.0,1.0,0.0,4.0,6.0,18.0239999709,18.0274950117
2.0,0.0,6.0,4.0,1.0,0.0,5.0,5.0,19.3199999689,19.321042351
2.0,0.0,7.0,3.0,1.0,0.0,6.0,4.0,20.6559999667,20.6625620588
2.0,0.0,8.0,2.0,1.0,0.0,7.0,3.0,21.9119999646,21.9160622566
2.0,0.0,9.0,1.0,1.0,0.0,8.0,2.0,22.9679999629,22.9700855061
1.0,9.0,1.0,2.0,1.0,9.0,0.0,1.0,25.5919999587,25.5959042953
1.0,9.0,2.0,3.0,1.0,9.0,1.0,2.0,26.9919999565,26.9942843358
1.0,9.0,3.0,4.0,1.0,9.0,2.0,3.0,28.3199999542,28.3203890924
2.0,9.0,4.0,3.0,0.0,9.0,3.0,4.0,29.6879999521,29.6951491914
1.0,9.0,5.0,4.0,1.0,9.0,4.0,3.0,30.7519999503,30.7557082989
0.0,9.0,6.0,4.0,0.0,9.0,5.0,4.0,32.199999948,32.2017606986
1.0,9.0,7.0,5.0,1.0,9.0,6.0,4.0,33.343999946,33.3513537713
1.0,9.0,8.0,6.0,1.0,9.0,7.0,5.0,34.8479999437,34.8487422979
1.0,9.0,9.0,7.0,1.0,9.0,8.0,6.0,35.871999942,35.874082081
2.0,5.0,1.0,7.0,1.0,5.0,0.0,8.0,38.1919999383,38.1960686585
2.0,5.0,2.0,6.0,1.0,5.0,1.0,7.0,39.6799999359,39.6855355497
2.0,5.0,3.0,5.0,1.0,5.0,2.0,6.0,40.7599999341,40.7621501735
1.0,5.0,4.0,6.0,0.0,5.0,3.0,5.0,42.2319999319,42.2391247307
2.0,5.0,5.0,5.0,1.0,5.0,4.0,6.0,43.6719999295,43.6771986184
