action,ball_col,ball_row,bar_col,label,prev_ball_col,prev_ball_row,prev_bar_col,time1,time2
1.0,6.0,1.0,5.0,1.0,6.0,0.0,4.0,12.2319999803,12.2399125185
1.0,6.0,2.0,6.0,1.0,6.0,1.0,5.0,13.4319999784,13.4328539444
2.0,6.0,3.0,5.0,0.0,6.0,2.0,6.0,14.4479999768,14.4495209404
1.0,6.0,4.0,6.0,1.0,6.0,3.0,5.0,15.7839999744,15.7844697011
2.0,6.0,5.0,5.0,0.0,6.0,4.0,6.0,16.8719999727,16.8773484882
0.0,6.0,6.0,5.0,0.0,6.0,5.0,5.0,18.3199999703,18.3216017077
1.0,6.0,7.0,6.0,1.0,6.0,6.0,5.0,19.3839999686,19.386544307
0.0,6.0,8.0,6.0,1.0,6.0,7.0,6.0,20.447999967,20.4537195524
0.0,6.0,9.0,6.0,1.0,6.0,8.0,6.0,21.5599999651,21.5624964442
1.0,7.0,1.0,7.0,1.0,7.0,0.0,6.0,24.1759999611,24.1775883578
0.0,7.0,2.0,7.0,1.0,7.0,1.0,7.0,25.6319999585,25.6355572825
0.0,7.0,3.0,7.0,1.0,7.0,2.0,7.0,26.7039999568,26.7063632098
0.0,7.0,4.0,7.0,1.0,7.0,3.0,7.0,28.0399999546,28.0438953352
2.0,7.0,5.0,6.0,0.0,7.0,4.0,7.0,29.5039999522,29.5099360251
1.0,7.0,6.0,7.0,1.0,7.0,5.0,6.0,30.9919999498,30.9996755635
0.0,7.0,7.0,7.0,1.0,7.0,6.0,7.0,32.4399999476,32.4455870399
0.0,7.0,8.0,7.0,1.0,7.0,7.0,7.0,33.5359999458,33.5421819049
0.0,7.0,9.0,7.0,1.0,7.0,8.0,7.0,34.7199999439,34.7239769269
1.0,7.0,1.0,8.0,0.0,7.0,0.0,7.0,37.3919999395,37.3925785844
0.0,7.0,2.0,8.0,0.0,7.0,1.0,8.0,38.4959999379,38.5035832336
2.0,7.0,3.0,7.0,1.0,7.0,2.0,8.0,39.9039999356,39.9074795439
